feature	importance(chi2)	correlation(pointbiserialr)
premfe	607.4662030114212	-0.14886541975184311
dist_5p	447.63806629290104	0.1225412297443185
dist_3p	425.38760674949543	0.11735530258497463
fback_start	16.38492478105381	-0.010071338790992052
fback_stop	18.02670721759926	-0.010547736072086256
paired_percentage	15.090099309141301	0.0227162999768677
paired_roll3	13.316669236946879	0.021349632354343263
paired_roll5	12.354228504970683	0.020757277971212844
paired_roll7	13.19910992457674	0.021182351116329785
length_longest_bulge	0.8365618641813355	-0.005451691899949032
length_longest_loop	1.4385551463224489	0.004126968667079359
longest_paired_length	11.308010672040462	0.02003405134074335
NBtripletA	106.74459623012754	0.03356890385312795
NBtripletT	7.693384518461658	0.008511458020121352
NBtripletC	554.5928131500344	-0.062524570632216
NBtripletG	197.37592128451635	-0.04214236033890822
AAA(((	0.27272250728420705	0.006857045833688762
AAA((.	0.021027344697478932	-0.0026639455874466053
AAA(.(	0.0003212259463403776	0.0004905823813673398
AAA.((	0.8488754907917361	0.016920594721395434
AAA..(	0.40255608061416	0.010046822321038977
AAA.(.	0.004003033160607045	0.0022800755172630387
AAA(..	0.8722604413032438	0.014224826758312001
AAA...	3.1498607597182864	0.016484697545762466
TTT(((	1.455182515484153	0.011527554043030522
TTT((.	0.9029813338551549	-0.016333297172455026
TTT(.(	0.017444924406908823	0.002939639645530358
TTT.((	0.498700396945757	0.012424935378410419
TTT..(	0.44266486668145694	0.012552933698474064
TTT.(.	0.004003033160607045	0.0022800755172630387
TTT(..	0.03324869739448654	0.003541152945283641
TTT...	0.002685656101957059	-0.0007385929983664691
CCC(((	4.020900797815174	-0.032994366584435574
CCC((.	0.583908574098891	-0.018152121929269866
CCC(.(	0.003931081485419296	-0.002202236940056998
CCC.((	0.5734157847654121	-0.017024620213339076
CCC..(	0.28855924948954603	-0.0145900431409515
CCC.(.	0.004003033160607045	0.0022800755172630387
CCC(..	1.262392409529534	-0.02631152083832094
CCC...	1.5690981717289032	-0.023804195001275064
GGG(((	13.568830927028879	-0.0339684447029457
GGG((.	1.5966181612139905	-0.021077885259847252
GGG(.(	0.12219901609044535	-0.009743476999256567
GGG.((	0.567573480811875	-0.013628987339205575
GGG..(	0.11054373084299705	-0.007966292181912513
GGG.(.	0.004003033160607045	0.0022800755172630387
GGG(..	0.027139668713969316	-0.004743165006160714
GGG...	0.10099418718907968	0.006901541214104451
A.(.	0.004003033160607045	0.0022800755172630387
T.(.	0.004003033160607045	0.0022800755172630387
C.(.	0.004003033160607045	0.0022800755172630387
G.(.	0.004003033160607045	0.0022800755172630387
A(.(	0.28742941793803733	0.0038075102036032996
T(.(	0.6779431895006721	0.006813323162282585
C(.(	3.310864226667171	-0.01666849954554199
G(.(	1.072055514222137	0.009720057378304479
occ_bulgeAllnt	2.2180968616727847	0.009245890174908296
occ_bulge1nt	0.9092410386791226	0.006225556098444208
occ_bulge2nt	1.909582659253841	0.009600671843125855
occ_bulge3nt	1.5383602365588165	0.010205960575379898
occ_bulge4nt	0.719259239636261	0.008577466170290043
occ_bulge5nt	0.901637732553022	-0.01168551758837748
occ_bulge6nt	0.09694023729562361	0.0048686857449190945
occ_bulge7nt	0.5543186546804731	-0.013433040054972378
occ_bulge8nt	0.1655505113620022	-0.008363323709677194
occ_bulge9nt	0.0003084142039390321	0.0004505160580102925
occ_bulge10nt	0.012455073170092902	0.0031803656015717864
occ_bulge11nt	0.0005494458136635541	-0.0007130163913741488
occ_bulge12nt	6.311563947458043e-05	-0.00029620549194352727
occ_bulge13nt	0.0011173542117691518	0.001318523413977524
occ_bulge14nt	0.007293519677744884	-0.0035983244189292936
occ_bulge15nt	0.0016992743391656495	0.0018543978692858658
occ_bulge16nt	6.209311188528946e-06	0.0001157413194407495
occ_bulge17nt	2.606916982105628e-06	-7.676333522922154e-05
occ_bulge18nt	0.00033509204392934047	0.0008956223185514513
occ_bulge19nt	0.0010514938039138156	0.001586522399675833
occ_bulge20nt	0.001058682810555375	0.0016266260754432041
occ_bulge21nt	0.009390116850356487	0.004850515241798672
occ_bulge22nt	0.004003033160607045	0.0022800755172630387
occ_bulge23nt	0.004003033160607045	0.0022800755172630387
occ_loopAllnt	0.383064741556542	0.004552754473021541
occ_loop3nt	1.9799779387771936	0.02099165802767272
occ_loop4nt	0.17874800272896582	-0.004464163520249959
occ_loop5nt	1.2370722898674782	-0.01644382036436567
occ_loop6nt	0.013078433264450316	0.0015100075189415686
occ_loop7nt	0.00019018557427560604	-0.0002553121433627719
occ_loop8nt	1.334076826796282	0.018875873359873837
occ_loop9nt	0.11712229194909024	-0.008870882759890095
occ_loop10nt	0.8539318717430748	0.027858298756671
occ_loop11nt	0.02642996932059179	-0.0054204699249313665
occ_loop12nt	0.022768205523078042	-0.0055183306062665345
occ_loop13nt	0.001455499678223547	-0.0015796471240353402
occ_loop14nt	0.0017650579740627799	-0.0016835268107790807
occ_loop15nt	0.00024610085641198795	0.0007144750411719414
occ_loop16nt	0.0160842511058866	0.005982220479124723
occ_loop17nt	5.370657101850984e-05	0.0003528622051272172
occ_loop18nt	0.00011195262349465985	0.0005118523846299717
occ_loop19nt	0.001733234251887141	0.0020878774958546864
occ_loop20nt	0.004100676493757955	0.003217594679441235
occ_loop21nt	0.004003033160607045	0.0022800755172630387
occ_loop22nt	0.004003033160607045	0.0022800755172630387
occ_loop23nt	0.004003033160607045	0.0022800755172630387
BestScore	719.6423036856457	0.15469281033718627
mircheck_conclu_3prime	0.003241889203160524	-0.0001330194093150782
mircheck_conclu_5prime	37.24134433013456	-0.014286246155500604
